Name;Latitude;Longitude
Ca Mau Province, Vietnam;8.9129524;104.554551836124
Soc Trang Province, Vietnam;9.1620323;106.145478740888
Bac Lieu Province, Vietnam;8.92205195;105.707631412025
Kien Giang Province, Vietnam;9.7671902;104.465471644386
Can Tho, Vietnam;10.0375517;105.7809605
Vinh Long Province, Vietnam;10.10669085;105.986624433846
Ben Tre Province, Vietnam;10.1245254;106.4690447
Tien Giang Province, Vietnam;10.3814246;106.2352902
An Giang Province, Vietnam;10.5149025;105.1131792
Dong Thap Province, Vietnam;10.5542534;105.65339708305
Ba Ria–Vung Tau Province, Vietnam;10.5819798;107.2899841
Long An Province, Vietnam;10.71387795;106.124951197171
Ho Chi Minh City, Vietnam;10.776264;106.694936
Dong Nai Province, Vietnam;11.0063212;107.1921807
Binh Thuan Province, Vietnam;11.101462;107.9415938
Binh Duong Province, Vietnam;11.1969829;106.7080527
Tay Ninh Province, Vietnam;11.404629;106.0033909
Lam Dong Province, Vietnam;11.6937725;108.152754
Binh Phuoc Province, Vietnam;11.7332484;106.906249
Khanh Hoa Province, Vietnam;12.1960803;108.9950386
Dak Lak Province, Vietnam;12.8399392;108.2284947
Phu Yen Province, Vietnam;13.2126552;109.0834225
Gia Lai Province, Vietnam;13.7964067;108.2608263
Binh Dinh Province, Vietnam;14.1525201;108.9239618
Quang Ngai Province, Vietnam;14.9635349;108.6642632
Da Nang, Vietnam;16.068;108.212
Thua Thien–Hue Province, Vietnam;16.3375374;107.5563708
Quang Tri Province, Vietnam;16.8581352;106.8588935
Quang Ninh Province, Vietnam;21.1718046;107.2012742
Ha Tinh Province, Vietnam;18.2879059;105.7842774
Nghe An Province, Vietnam;19.3738868;104.9233469
Thanh Hoa Province, Vietnam;20.1071694;105.2124457
Ninh Binh Province, Vietnam;20.1844832;105.9802529
Nam Dinh Province, Vietnam;20.2712241;106.1629895
Ha Nam Province, Vietnam;20.5269088;105.9543527
Thai Binh Province, Vietnam;20.5296832;106.3876068
Hoa Binh Province, Vietnam;20.6609177;105.3924747
Hung Yen Province, Vietnam;20.8193369;106.0314504
Hai Phong, Vietnam;20.858864;106.6749591
Hai Duong Province, Vietnam;20.9443681;106.3780373
Ha Noi, Vietnam;21.0294498;105.8544441
Bac Ninh Province, Vietnam;21.1212051;106.0880245
Bac Giang Province, Vietnam;21.3092863;106.6165128
Vinh Phuc Province, Vietnam;21.311356;105.6032944
Phu Tho Province, Vietnam;21.321224;105.1267207
Thai Nguyen Province, Vietnam;21.655458;105.8359331
Yen Bai Province, Vietnam;21.8013688;104.5148066
Quang Nam Province, Vietnam;15.5973344;107.9758089
